,mean_weight,std_weight,folds_in_top50,abs_mean
SPATA4,-0.0043723948886643564,0.0008283359464810274,0,0.0043723948886643564
ILRUN,0.00435180839363579,0.0010368420872711962,0,0.00435180839363579
OR6C74,-0.004344445005138036,0.0008253232781433449,0,0.004344445005138036
ABTB2,0.004343316007362678,0.0012229845250193792,0,0.004343316007362678
MAS1,-0.004342862956301164,0.0017482108188163219,1,0.004342862956301164
CNTN6,-0.004333078466772824,0.0019241397084690474,0,0.004333078466772824
IQCF1,0.004323216083394888,0.0014366539944872525,1,0.004323216083394888
OR2T12,-0.004323035457628197,0.0010509435620067974,0,0.004323035457628197
SMLR1,0.004317014692096494,0.0009669832179383467,0,0.004317014692096494
C9,0.004312790857541641,0.0004683899223181187,1,0.004312790857541641
KRT39,0.004307316419134127,0.0036555837210512005,2,0.004307316419134127
THSD4,0.0043072970153247726,0.0014079515591359645,0,0.0043072970153247726
GABRR3,-0.0042890596832341615,0.0009518288554635398,0,0.0042890596832341615
HMGCLL1,-0.004277399329797255,0.0007680708526182956,0,0.004277399329797255
OR52E6,0.004276420468104801,0.001979153284285066,1,0.004276420468104801
CAMK1D,-0.004275832140981562,0.00047494207466854067,0,0.004275832140981562
ZNF382,-0.00426368034084822,0.000641339023632265,0,0.00426368034084822
C15orf48,-0.004262762699981909,0.0006053181564188431,0,0.004262762699981909
MRPS18C,-0.004246660448823011,0.0016918795836075055,1,0.004246660448823011
USH1G,-0.00423423347877617,0.0012499651708942185,0,0.00423423347877617
KRT79,0.004229338596324729,0.0020511057119575312,1,0.004229338596324729
PGLYRP4,0.004225124194119545,0.0011062778944389141,0,0.004225124194119545
RAPSN,0.004214229431659552,0.0007157171010925497,0,0.004214229431659552
FDXR,-0.0042112468607086034,0.0006315636098089611,0,0.0042112468607086034
SNTG1,-0.004199004497874471,0.0012018118065202977,0,0.004199004497874471
DLX2,0.004197813480984333,0.0009531701597287896,0,0.004197813480984333
TNFSF13,-0.004194894837190312,0.0006394248913907232,0,0.004194894837190312
FAM72C,0.004180571535309803,0.0013507718373333537,0,0.004180571535309803
LGMN,-0.004176248033007165,0.0011630108868052984,0,0.004176248033007165
FOXF2,0.0041761586174484866,0.001033213159230072,0,0.0041761586174484866
SRPX,0.0041761039949751435,0.0005262561154850354,0,0.0041761039949751435
RSPO4,0.004173046505070235,0.0017839271976386368,1,0.004173046505070235
CD164L2,-0.004168538290378655,0.0016750360238755838,0,0.004168538290378655
EPHB3,0.004163627898569705,0.0007180179596771387,0,0.004163627898569705
TNMD,0.0041609078150857065,0.001563997276681797,1,0.0041609078150857065
HPGDS,-0.004154448000544897,0.0010512814702506423,0,0.004154448000544897
OR5T2,-0.004153014730924154,0.0012673452446276556,0,0.004153014730924154
ZNF774,-0.004148130943139308,0.0009516770417513807,0,0.004148130943139308
SCML2,0.004145560283637134,0.0007746199911449008,0,0.004145560283637134
CRHR1,-0.004138639509128289,0.0010116526466254292,1,0.004138639509128289
ENPP1,0.004137423052557111,0.0007300589273021718,0,0.004137423052557111
PRDM8,0.004129673509448424,0.001417390824402507,0,0.004129673509448424
MAP2K6,-0.004125412467480645,0.0005847503444901134,0,0.004125412467480645
VCX3A,0.004122575617322416,0.0011903809023800377,0,0.004122575617322416
TRIML2,0.004107539091298784,0.0035006685958016317,1,0.004107539091298784
KCNC1,-0.0040997631998593315,0.0015762887047650548,1,0.0040997631998593315
ATG13,0.0040964187756267825,0.0006936009451365353,0,0.0040964187756267825
FO681492.1,-0.004093779082329342,0.001244814977236479,0,0.004093779082329342
ATCAY,-0.004085585387450035,0.0010503157329917138,0,0.004085585387450035
DUSP2,0.00408121954258416,0.0007895859119910259,0,0.00408121954258416
CYP24A1,0.004079195402332515,0.001122701527682845,1,0.004079195402332515
NEUROG1,-0.004076943876957374,0.001035648395230846,0,0.004076943876957374
CHRM3,-0.004076570448427134,0.0008763249985554105,0,0.004076570448427134
NKX2-4,-0.004047531188642676,0.003247795211233024,1,0.004047531188642676
